Job ID,Description
10,"About the job
Greeting from SKILLVERTEX

www.skillvertex.in


It gives me immense pleasure to introduce ourselves as one of the top leading and emerging edtech platforms in India with our head office in Bangalore.


We offer project based training, Internship and placement assistance programs for engineering and management students.


Our aim is to provide quality education via real time training and upskill the students so as to make them industry ready.


We offer internship programs which span over a period of two months which include training under industry experts as well as industrial project experience.


-Cloud Computing

-Data Science

-Cyber Security

-Web Development

-Android Development

-Machine Learning

-Artificial Intelligence

-Python

-Finance

-Marketing and Sales

-Stock Market

-Digital Marketing

-Embedded Systems

-Robotics

-Internet of Things- IoT

-Hybrid and Electric Vehicles

-Autocad

-IC Engine design (only recorded)

-Hybrid and Electric Vehicle

-Construction planning


The students may opt for any domain under the respective fields


The internship program is the same for all of these domains.


1st Month : Industrial Training


The first month is for training in which the students will be taught in their selected domains via live/recorded lectures. The training will cover from the basics in all the domains such that students with no prior experience may also be able to learn effectively.


2nd Month : Industrial Projects


The second month features two project opportunities for the students to implement the knowledge they have acquired. The first is a minor or individual project for 7 days which is to encourage every student to bring into practice what they have learnt and the second is a major or group project in which the students will be working in teams of 5-10 members to simulate an office work environment similar to that in MNCs. The students would have access to the study material for a total period of 6 months as well as intellectual property rights to the completed projects..


The entire program is supervised by industry experts from our affiliated MNCs who will be guiding the students through their projects with the help of planned curriculum as well as their personal experiences.


PLEASE NOTE: THERE WILL BE TRAINING FEES."
11,"About the job
Greeting from SKILLVERTEX

www.skillvertex.in


It gives me immense pleasure to introduce ourselves as one of the top leading and emerging edtech platforms in India with our head office in Bangalore.


We offer project based training, Internship and placement assistance programs for engineering and management students.


Our aim is to provide quality education via real time training and upskill the students so as to make them industry ready.


We offer internship programs which span over a period of two months which include training under industry experts as well as industrial project experience.


1st Month : Industrial Training


The first month is for training in which the students will be taught in their selected domains via live/recorded lectures. The training will cover from the basics in all the domains such that students with no prior experience may also be able to learn effectively.


2nd Month : Industrial Projects


The second month features two project opportunities for the students to implement the knowledge they have acquired. The first is a minor or individual project for 7 days which is to encourage every student to bring into practice what they have learnt and the second is a major or group project in which the students will be working in teams of 5-10 members to simulate an office work environment similar to that in MNCs. The students would have access to the study material for a total period of 6 months as well as intellectual property rights to the completed projects..


The entire program is supervised by industry experts from our affiliated MNCs who will be guiding the students through their projects with the help of planned curriculum as well as their personal experiences.


PLEASE NOTE: THERE WILL BE TRAINING FEES.
ONLINE LIVE SESSIONS- 6000₹/-
RECORDED SESSIONS- 4000₹/-"
12,"The ideal candidate will be responsible for creating python microservices.


Job Description

Design, develop, troubleshoot, and debug python microservices.
Work closely with Architects and Senior Developers to achieve effective and optimized code.
Unit test, build, and deploy the services to cloud.
Focus on developing and deploying the programs.

Job Requirements

Min. 1 to 2 years of related experience
Having dominant skills in: Python, Web Development
Having essential skills in: Python Django, HTML, CSS, Javascript, Jquery, Bootstrap
Strong analytical skills
Strong communication skills including the ability to convey technical information effectively
Having good perfomance in completing the tasks within an agreed schedule

About EIS LABS Pvt. Ltd. ®

EIS LABS Pvt. Ltd. ® is a tangible manifestation of the lofty ideals of some visionaries, who are well known experts in their respective fields of work. We had always nurtured a dream & desire to make a significant contribution to the nation through collaboration of education with industry. Our dream and desire inspired us to establish a platform, EIS LABS Pvt. Ltd. ®. The vision for the company is to bring the academic researches on a single platform and mold them into industrial products with the help of our expertise."
13,"The ideal candidate should have strong communication skill

Responsibilities-
Collaborate with the team.
Maintain the internal works
Managing internal assets.

Qualifications-
Bachelor’s degree in HR or related field.
Experience as an HR
Freshers are also welcomed

Strong communication skill, basic computer knowledge
Knowledge about google sheets,Ms.word, google doc etc.

Internship program duration : 6 month
Salary structure: No salary till 6 month

Requirement : Laptop or system with good internet speed
Work from Home

Work timing: 4 Hours (including learning hours)
Notice period: 15 days.

Post Successful compilation of internship programs. Intern will get work experience certificate or internship certificate based on performance."
14,"The ideal candidate will use their passion for big data and analytics to provide insights to the business covering a range of topics. They will be responsible for conducting both recurring and ad hoc analysis for business users.

Responsibilities

Understand the day-to-day issues that our business faces, which can be better understood with data
Compile and analyze data related to business issues
Develop clear visualizations to convey complicated data in a straightforward fashion
We are looking for a curious and collaborative Analyst to solve business problems using data.
As a Data Analyst, you will use analytical, statistical and programming skills to collect, analyze and interpret large datasets.
You are expected to have strong data analytical skills with statistical background and hands-on experience in not only building machine learning models but also deploying them to production.

Qualifications

2+ years of experience in solving business problems using various analytical and statistical techniques.
You think about data in terms of statistical distributions and have a big enough analytics toolbox to know how to find patterns in data and communicate the findings using visualizations
You have experience writing SQL queries to create datasets for analytics and modeling (e.g. SQL, BigQuery, Hive)
Apply statistical analysis and visualization techniques to various data, Generate hypotheses about the underlying mechanics of the business process
Test hypotheses using various quantitative methods
Display drive and curiosity to understand the business process to its core
Network with domain experts to better understand the business mechanics that generated the data
Apply various ML and advanced analytics techniques to perform classification or prediction tasks
Integrate domain knowledge into the ML solution; for example, from an understanding of financial risk, customer journey, quality prediction, sales, marketing
Testing of ML models, such as cross-validation, A/B testing, bias, and fairness
You have proven experience with at least one programming language (e.g. Python, Java, R) and are comfortable developing code in a team environment (e.g. git, notebooks)
Experience in statistical modeling and techniques like GLM, Random Forest, GBM, Neural Networks
You are self-motivated and curious with demonstrated creative and critical thinking capabilities
You have excellent verbal and written communication skills and experience in influencing decisions with information
Your academic background is in a quantitative field such as Computer Science, Statistics, Engineering."
15,"About the job
#python #AI #ML #DL


Summary


Want to own the platform that enables the next generation of intelligent experiences on products and services? Our group develops the platform that is used for developing machine learning, artificial intelligence, and computer vision applications. As a machine learning engineer on our team, you will design and build software systems to enable the future of intelligent products. Join our team of pragmatic, proficient, product-focused engineers!



Key Qualifications


Strong Python programming skills

Understanding of data structures

Software design principles and algorithms

Experience with one or more deep learning frameworks, such as TensorFlow and PyTorch

Hands-on experience developing machine learning solutions

Familiarity with DNN training algorithms.



Description


We're looking for strong machine learning engineers to help build a next-generation framework for training deep learning models. You'll be part of a small team of developers and deep learning experts, working in the area of neural network systems and algorithm optimization. We're looking for candidates with polished coding skills as well as a passion for machine learning and computational science. In exchange, we offer a respectful work environment, flexible responsibilities, and access to world-class experts and growth opportunities—all at one of the best companies in the world. Design and develop components for our centralized, scalable ML platform. Train and evaluate DNNs to push the limits of existing solutions for large-scale training. Develop novel techniques to circumvent the limitations of these solutions and evaluate your techniques on real-world tasks from our partners in Computer Vision. We encourage publishing novel work at top ML conferences.


BONUS QUALIFICATIONS:


Strong background in applied math, including optimization and probability

Strong C++ skills

Publication record at ML conferences

Familiarity with GPU programming.



Education & Experience

4+ Years of Relavent Experience in AI/ Machine Learning / Deep Learning.

Ph.D./MS / B.E. B.Tech (or equivalent in the area of computer science / Electronics / Electrical/ IT)

"
16,"About the job
If you're potential but don't have skills or platform. this could be the best opportunity for you as I’m sponsoring potential candidates in my team for my next project and here are two pay-scale which l can offer
at their initial levels (depending upon their working
capabilities) 25-30k(for part time) & 35-40k (for full
time)
Roll in now
‼️seats are limited‼️"
17,"About the job

We are looking for a data scientist with flair for exploratory data analysis and a problem solving aptitude who will collaborate with stakeholders / cross functional teams to investigate problems, detect patterns and recommend solutions by analysing data.
This is a long-term position for an independent freelancer working 40hrs/week and being paid monthly.

What you’ll be doing:

Collaborate with various stakeholders to understand their problems and goals, make sense of the data landscape, perform a combination of exploratory, Machine Learning & Advanced Analytics.
Make data-driven decisions: design metrics, perform data analysis, collect data in resourceful ways and dive into details to truly understand key customer pain points.
Use strong programming & data science / engineering skills to explore, examine, prepare, and interpret large volumes of data in various forms.
Model complex problems, discover insights and identify opportunities through the use of statistical, algorithmic, mining and visualization techniques.
Distil key insights from data that address the objectives of the analysis, synthesize and clearly communicate findings that focus on the critical issues and provide actionable recommendations to address the business question asked.

What will make you successful:

Bachelor’s degree from an accredited educational institution (preferably in a technical discipline like Computer Science / Electrical Engineering) or with educational background in Statistics / Mathematics or a related quantitative field.
4 - 5 years of relevant work experience in modern data technologies & data science tools and libraries / frameworks.
Hands on experience and expertise in Python, SQL databases, Machine learning / AI, Data visualization, Statistics.
The capacity for self-motivation, independent initiative, creative problem-solving and time management.
Strong analytical and quantitative skills; ability to use hard data and metrics to back up assumptions, recommendations, and drive actions.
Excellent communications skills with respect to translating business needs into a mathematical / data analysis approach and translating analysis results in business terms.
Knowledgeable in Agile software development and DevOps methodologies.
Familiarity with BigQuery / BigData, Cloud computing, Virtual machines, Google cloud platform, NLP, AWS and version control tools like GitHub would be a big plus.
"
18,"Company Description

Merkle is a global data-driven, technology-enabled performance marketing agency. For over 30 years, Fortune 1,000 companies and leading nonprofit organizations have partnered with us to build and maximize the value of their customer portfolios. We work with world-class brands like Dell, T-Mobile, Samsung, GEICO, Regions, Kimberly-Clark, AARP, Lilly, Sanofi, NBC Universal, DIRECTV, American Cancer Society, Habitat for Humanity, and many others to build and execute customer-centric business strategies. With more than 9,000 smart, dedicated people in more than 50 offices around the world, we are still growing at a rate that outpaces the market.

At Merkle, we help brands make the people-based marketing transformation. Using a combination of first- and third-party data, we create, target, and measure the highly customized customer experiences that not only drive immediate results in the form of today’s response and conversion, but also build tomorrow’s increased loyalty and customer value. At the heart of these solutions is Merkle’s deep heritage in the data, analytics, and technology capabilities that enable them.

Our capabilities span people-based marketing disciplines: customer strategy, performance media, customer experience and personalization, customer relationship management, loyalty marketing, and enterprise technology services. This have cross functional teams with a lot of skills and understanding of multiple capabilities, UI/UX, Frontend, Backend, Scalability, Security, Performance, Databases, Caches, Microservices, DevOps, SOA, Integration Patterns, etc.

Merkle is a global data-driven, technology-enabled performance marketing agency. For over 30 years, Fortune 1,000 companies and leading nonprofit organizations have partnered with us to build and maximize the value of their customer portfolios. We work with world-class brands like Dell, T-Mobile, Samsung, GEICO, Regions, Kimberly-Clark, AARP, Lilly, Sanofi, NBC Universal, DIRECTV, American Cancer Society, Habitat for Humanity, and many others to build and execute customer-centric business strategies. With more than 9,000 smart, dedicated people in more than 50 offices around the world, we are still growing at a rate that outpaces the market.

At Merkle, we help brands make the people-based marketing transformation. Using a combination of first- and third-party data, we create, target, and measure the highly customized customer experiences that not only drive immediate results in the form of today’s response and conversion, but also build tomorrow’s increased loyalty and customer value. At the heart of these solutions is Merkle’s deep heritage in the data, analytics, and technology capabilities that enable them.

Our capabilities span people-based marketing disciplines: customer strategy, performance media, customer experience and personalization, customer relationship management, loyalty marketing, and enterprise technology services. This have cross functional teams with a lot of skills and understanding of multiple capabilities, UI/UX, Frontend, Backend, Scalability, Security, Performance, Databases, Caches, Microservices, DevOps, SOA, Integration Patterns, etc.

Job Description

Merkle | Sokrati, a leader in Digital Marketing and Analytics, managing Digital Marketing campaigns for several large brand clients in India. We are currently a 1250+ people team; and growing extremely fast to gain more market share and roll out even cooler technology solutions in Digital Advertising space.

In pursuit of this, we seek to hire an Intern– Data Analytics in our team.

What you’ll do at Merkle|Sokrati?
Use statistical methods to analyze data and generate useful business reports
Analyze client data using EDA and provide actionable insights to improve processes and present them successfully to management using a reporting tool.
Use data to create AI&ML models to solve complex business problems
Provide support for ad hoc requests from the Business Users
Provide support for Analytics Processes monitoring and troubleshooting.
Identify, evaluate and implement external services and tools to support data validation and cleansing
Liaise with internal and external clients to fully understand data content
Gather, understand and document detailed business requirements using appropriate tools and techniques
Support in creating PowerPoints, reports, dashboards and models
Independently determine the appropriate approach for new assignments
Complete a variety of atypical assignments
Solve a range of straight forward problems
Builds knowledge of the organization, processes and customers
What’s On Offer
An opportunity to work with one of India’s most promising companies in a genuine growth hacking role
Unparalleled learning opportunities in the company of ridiculously smart folks with very high levels of expertise in their respective functions
Fantastically transparent, vibrant and positive work culture
Qualifications

What we are looking for?
Someone who is inquisitive and has great problem-solving skills.
Core data science/analytics knwolege.
Hands-on experience of building statistical models like regression, decision tree, random forests and other AI/ML models is a must
Experience using R, Python, SAS is mandatory.
Ability to write SQL queries, doing cohort analysis, comparative analysis etc.
Ability to lead own projects and work independently once given a direction.
Experience working directly with business users to build reports, dashboards and solving business questions with data.
Experience of working on visualization tools (Tableau/Power BI etc.)
Understanding about GA360/Adobe/Datorama/CDP/DMP etc.
Additional Information

Please note: The selected candidates have to start working from office immediately.

At Merkle Sokrati, we don't insist on any paid certification as a part of the hiring process."
19,"As a Data Scientist you will work closely with the Cognitive Wi-Fi team to research and develop techniques for anomaly detection, root cause analysis and auto remediation.


Develop ML models and measure their effectiveness across all of Arista customers
Work on extracting and analysing data from a wide variety of Wi-Fi networks
Develop proof of concepts and ship new features in Arista’s CloudVision Wi-Fi solution.
Possibly share the findings with a larger community through talks and blog posts

Are you right for this role?


This is an interesting and exciting opportunity to be a part of the software team that is redefining Cognitive Wi-Fi.

For success at Arista all you need is:


Strong engineering and Computer Science fundamentals
Minimum two years of experience in Data Science, Machine Learning and AI technologies.
Knowledge of Python or R and SQL.
Knowledge of Pandas (Python) or Tidyverse (R) libraries.
Experience in using Jupyter or RStudio/RMarkdown notebooks"
20,"About the job
MonetizeMore builds industry leading ad technology that is seen by more than 300M people per month. The company has been running for 11 years achieving consistent double digit growth each year with a team of 180+ team members spread across the globe.

MonetizeMore offers location and schedule freedom to every one of its team members. That means that you would have the lifestyle autonomy to choose to work from anywhere in the world, during the time of day you prefer. This new-age work lifestyle would enable you to engineer your ideal lifestyle. Say goodbye to endless commutes, stuffy business attire and the arbitrary 9 – 5 work day. Take your life back into your hands by joining the MonetizeMore team!

The product team is the fastest and most innovative team in the company. Build greenfield technology that is disrupting the ad technology industry. Solve problems that have never been solved before. Join a company culture that replaces constant meetings and interruptions with innovation that continues to break boundaries. Take your skillset to the next level with some of the best minds in the ad technology industry to make a real difference with MonetizeMore.

Job Description

What you will do
Perform exploratory data analysis on auction data to form hypothesis
Build models to test the hypothesis
Optimize auction strategies using statistics and machine learning techniques
Collaborate with other developers to make the models reproducible and production-ready

Who you might be
1-2 years of professional experience in data analysis using Python
Highly knowledgeable in statistics and probability
Experienced in conducting hypothesis testing
Have good understanding of classical machine learning techniques
Knowledgeable in reinforcement learning algorithms is a plus
Proficiency in SQL, pandas, NumPy, scikit-learn, Matplotlib, etc.

Attributes

MonetizeMore attributes include:

Teamwork Attributes
Collaboration: Working remotely on complex projects necessitates that you work together with your team and share knowledge.
Communication Skills: You are comfortable communicating in English at all levels, have strong spoken and written communication skills and are an active listener.
Teamwork: You value team synergy and are excited about helping your team succeed.
Interpersonal Skills: You are able to get along, work well and coordinate with others.
Conflict Management: As a team, we are proactive in dealing with conflict. You are able to find constructive ways of resolving issues with other team members.

Technical Attributes
Technology: A MonetizeMore developer is proficient in all stages of web development, from conception to deployment. You are a one-person army, ready and willing to attack any technical challenge that crosses your path
Analytical and Problem Solving Skills: You work hard to understand technical issues and to resolve them in an effective manner.
Detail Orientation: You work on many parts of an application or system at the same time and are able to focus on each detail meticulously.
Initiative: You work well in a team, with little supervision, making well-reasoned and effective technical decisions.
Reliability and Responsibility: You demonstrate reliability at all times. You give reasonable expectations within the Agile Scrum framework and work hard and smart to achieve and surpass those expectations. You communicate what you are going to do, then meet that commitment.
Thought Leadership: You analyze MonetizeMore’s tech stack, systems and processes with the goal to iterate on a regular basis. You look for opportunities to improve to increase value to MonetizeMore and suggest them to the team.

If you think you are a good fit to join the MonetizeMore Product Team, kindly apply and give specific reasons on what sets you apart. We hire individuals, not robots. Don’t be afraid to show a little personality ;)"
21,"About the job
We are looking for aspirational Data Scientists to solve really complex problems using machine learning and neural nets. If this is you, we’d love to meet you and bring you onboard!

A heads-up on what this role entails:

You will be involved in the complete lifecycle of using machine learning to solve real business problems - including data understanding, feature engineering, model selection, model training, model optimization and deployment.

Experience:


We expect you to have 2+ years of experience in Data Science and machine learning


Hand on real world experience in building & deploying models


Experience working with tensorflow, pyTorch to building LSTM, RNN, GRU models for text, numerical and time series data


Experience working with real world problems and data is required


To be a successful Data Scientist, your skills in math, probability, statistics and building/using algorithms need to be very good!


To be able to express yourself as a Data Scientist, you need to have the ability to to write robust code in Python


Have a bachelor’s degree in computer science, Mathematics or a similar field would be great. A Masters preferred!


Who you are:


We are already liking you if you have the skills listed above. Now to push it over the top, we expect you to have Excellent communication skills; Afterall, you will have to communicate your ideas and your vision with the rest of the team and the management.


We mentioned the team, so being a good team player is important for us."
22,"About the job
MonetizeMore builds industry leading ad technology that is seen by more than 300M people per month. The company has been running for 11 years achieving consistent double digit growth each year with a team of 180+ team members spread across the globe.

MonetizeMore offers location and schedule freedom to every one of its team members. That means that you would have the lifestyle autonomy to choose to work from anywhere in the world, during the time of day you prefer. This new-age work lifestyle would enable you to engineer your ideal lifestyle. Say goodbye to endless commutes, stuffy business attire and the arbitrary 9 – 5 work day. Take your life back into your hands by joining the MonetizeMore team!

The product team is the fastest and most innovative team in the company. Build greenfield technology that is disrupting the ad technology industry. Solve problems that have never been solved before. Join a company culture that replaces constant meetings and interruptions with innovation that continues to break boundaries. Take your skillset to the next level with some of the best minds in the ad technology industry to make a real difference with MonetizeMore.

Job Description

What you will do
Perform exploratory data analysis on auction data to form hypothesis
Build models to test the hypothesis
Optimize auction strategies using statistics and machine learning techniques
Collaborate with other developers to make the models reproducible and production-ready

Who you might be
1-2 years of professional experience in data analysis using Python
Highly knowledgeable in statistics and probability
Experienced in conducting hypothesis testing
Have good understanding of classical machine learning techniques
Knowledgeable in reinforcement learning algorithms is a plus
Proficiency in SQL, pandas, NumPy, scikit-learn, Matplotlib, etc.

Attributes

MonetizeMore attributes include:

Teamwork Attributes
Collaboration: Working remotely on complex projects necessitates that you work together with your team and share knowledge.
Communication Skills: You are comfortable communicating in English at all levels, have strong spoken and written communication skills and are an active listener.
Teamwork: You value team synergy and are excited about helping your team succeed.
Interpersonal Skills: You are able to get along, work well and coordinate with others.
Conflict Management: As a team, we are proactive in dealing with conflict. You are able to find constructive ways of resolving issues with other team members.

Technical Attributes
Technology: A MonetizeMore developer is proficient in all stages of web development, from conception to deployment. You are a one-person army, ready and willing to attack any technical challenge that crosses your path
Analytical and Problem Solving Skills: You work hard to understand technical issues and to resolve them in an effective manner.
Detail Orientation: You work on many parts of an application or system at the same time and are able to focus on each detail meticulously.
Initiative: You work well in a team, with little supervision, making well-reasoned and effective technical decisions.
Reliability and Responsibility: You demonstrate reliability at all times. You give reasonable expectations within the Agile Scrum framework and work hard and smart to achieve and surpass those expectations. You communicate what you are going to do, then meet that commitment.
Thought Leadership: You analyze MonetizeMore’s tech stack, systems and processes with the goal to iterate on a regular basis. You look for opportunities to improve to increase value to MonetizeMore and suggest them to the team.

If you think you are a good fit to join the MonetizeMore Product Team, kindly apply and give specific reasons on what sets you apart. We hire individuals, not robots. Don’t be afraid to show a little personality ;)

Powered by JazzHR

GRq50kVQI5"
